name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Daewoo Matiz  SE   2002,Daewoo,Matiz,30/11/2021,48000000,2002,Hatchback,Đã qua sử dụng,Trong nước,10000,Bình Định,Số tay,Xăng
Daewoo Matiz  2007,Daewoo,Matiz,29/11/2021,52000000,2007,Hatchback,Đã qua sử dụng,Trong nước,97000,Hà Nội,Số tay,Xăng
Daewoo Matiz  2006,Daewoo,Matiz,29/11/2021,60000000,2006,Hatchback,Đã qua sử dụng,Trong nước,900000,Bình Dương,Số tay,Xăng
Daewoo Matiz SE 2003,Daewoo,Matiz,23/11/2021,55000000,2003,Hatchback,Đã qua sử dụng,Trong nước,50000,Bình Dương,Số tay,Xăng
Daewoo Matiz    2000,Daewoo,Matiz,22/11/2021,45000000,2000,Hatchback,Đã qua sử dụng,Nhập khẩu,35000,Kon Tum,Số tay,Xăng
Daewoo Matiz  2006,Daewoo,Matiz,29/11/2021,135000000,2006,Hatchback,Đã qua sử dụng,Nhập khẩu,10000,Hà Nội,Số tự động,Xăng
Daewoo Matiz  2004,Daewoo,Matiz,29/11/2021,58000000,2004,Hatchback,Đã qua sử dụng,Trong nước,138028,Hà Nội,Số tay,Xăng
Daewoo Matiz  2005,Daewoo,Matiz,28/11/2021,90000000,2005,Hatchback,Đã qua sử dụng,Trong nước,66000,Đắk Lắk,Số tay,Xăng
Daewoo Matiz  2006,Daewoo,Matiz,30/11/2021,60000000,2006,Hatchback,Đã qua sử dụng,Trong nước,90000,Bình Dương,Số tay,Xăng
Daewoo Matiz  2008,Daewoo,Matiz,30/11/2021,69000000,2008,Hatchback,Đã qua sử dụng,Nhập khẩu,270000,Thanh Hóa,Số tay,Xăng
Daewoo Matiz   SE   2007,Daewoo,Matiz,30/11/2021,128000000,2007,Hatchback,Đã qua sử dụng,Nhập khẩu,110000,Hà Nội,Số tự động,Xăng
Daewoo Matiz  2003,Daewoo,Matiz,29/11/2021,53000000,2003,Hatchback,Đã qua sử dụng,Nhập khẩu,845466,Đắk Lắk,Số tay,Xăng
Daewoo Matiz  2007,Daewoo,Matiz,29/11/2021,75000000,2007,Hatchback,Đã qua sử dụng,Trong nước,200000,Đắk Lắk,Số tay,Xăng
Daewoo Matiz  2007,Daewoo,Matiz,29/11/2021,88000000,2007,Hatchback,Đã qua sử dụng,Trong nước,100000,Tp.HCM,Số tay,Xăng
Daewoo Matiz Van 2013,Daewoo,Matiz,29/11/2021,95000000,2013,Hatchback,Đã qua sử dụng,Trong nước,9000,Nghệ An,Số tay,Xăng
Daewoo Matiz  2008,Daewoo,Matiz,26/11/2021,150000000,2008,Hatchback,Đã qua sử dụng,Nhập khẩu,125000,Thái Nguyên,Số tự động,Xăng
