name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Porsche 911 Carrera 2021,Porsche,911,07-12-21,8800000000,2021,Coupe,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Porsche 911 Carrera 2021,Porsche,911,06-12-21,9390000000,2021,Coupe,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Porsche 911 Carrera 2021,Porsche,911,06-12-21,9990000000,2021,Coupe,Đã qua sử dụng,Nhập khẩu,200000,Hà Nội,Số tự động,Xăng
Porsche 911    2021,Porsche,911,30-11-21,10500000000,2021,Sport Car,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Porsche 911  2019,Porsche,911,30-11-21,5600000000,2019,Sedan,Đã qua sử dụng,Nhập khẩu,6000,Tp.HCM,Số tự động,Xăng
Porsche 911 Carrera  2021,Porsche,911,10-11-21,8850000000,2021,Coupe,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Porsche 911 Carrera 2021,Porsche,911,19-11-21,9990000000,2021,Sport Car,Đã qua sử dụng,Nhập khẩu,200000,Hà Nội,Số tự động,Xăng
Porsche 911  2021,Porsche,911,17-11-21,9450000000,2021,Sport Car,Mới,Nhập khẩu,0,Tp.HCM,,
Porsche Boxster     2015,Porsche,Boxster,17-11-21,3800000000,2015,Convertible,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Porsche Boxster  2015,Porsche,Boxster,14-11-21,3790000000,2015,Convertible,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Porsche Boxster  718  2015,Porsche,Boxster,14-11-21,3790000000,2015,Convertible,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Porsche Boxster  2015,Porsche,Boxster,12-11-21,3790000000,2015,Convertible,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Porsche Boxster   Spider  2015,Porsche,Boxster,14-11-21,3790000000,2015,Convertible,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Porsche Cayenne S  2016,Porsche,Cayenne S,06-12-21,4150000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,78400,Hà Nội,Số tự động,Xăng
Porsche Cayenne S  2016,Porsche,Cayenne S,06-12-21,4150000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,52000,Hà Nội,Số tự động,Xăng
Porsche Cayenne S  2019,Porsche,Cayenne S,06-12-21,6780000000,2019,SUV,Đã qua sử dụng,Nhập khẩu,52000,Hà Nội,Số tự động,Xăng
Porsche Cayenne S  2007,Porsche,Cayenne S,11-11-21,870000000,2007,SUV,Đã qua sử dụng,Nhập khẩu,98000,Lâm Đồng,Số tay,Xăng
Porsche Cayman  2021,Porsche,Cayman,07-12-21,8800000000,2021,Coupe,Mới,Nhập khẩu,0,Quảng Ninh,Số tự động,Xăng
Porsche Cayman  2018,Porsche,Cayman,24-11-21,4799000000,2018,Coupe,Đã qua sử dụng,Nhập khẩu,15000,Tp.HCM,Số tự động,Xăng
Porsche Cayman    2020,Porsche,Cayman,04-12-21,5500000000,2020,Coupe,Đã qua sử dụng,Nhập khẩu,4000,Hà Nội,Số tự động,Xăng
Porsche Cayman   718  2018,Porsche,Cayman,15-11-21,4700000000,2018,Coupe,Đã qua sử dụng,Nhập khẩu,14000,Hà Nội,Số tự động,Xăng
Ram 1500   2021,Ram,1500,06-12-21,5388000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Ram 1500  Laramie 2021,Ram,1500,06-12-21,5388000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Renault Duster    2016,Renault,Duster,26-11-21,372000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,85000,Hà Nội,Số tự động,Xăng
Renault Duster     2016,Renault,Duster,16-10-21,448000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,57300,Tp.HCM,Số tự động,Xăng
Renault Duster  2016,Renault,Duster,13-10-21,425000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,40000,Hà Nội,Số tự động,Xăng
Renault Duster   2.0 AT  2016,Renault,Duster,23-11-21,425000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,38000,Tp.HCM,Số tự động,Xăng
Renault Duster   2.0AT 4x4   2016,Renault,Duster,02-11-21,399000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,12345,Hà Nội,Số tự động,Xăng
Renault Koleos  2012,Renault,Koleos,03-12-21,430000000,2012,SUV,Đã qua sử dụng,Nhập khẩu,80000,Vĩnh Phúc,Số tự động,Xăng
Renault Koleos   2.5CVT  2012,Renault,Koleos,26-10-21,550000000,2012,SUV,Đã qua sử dụng,Nhập khẩu,130000,Hà Nội,Số tự động,Xăng
Renault Latitude  2016,Renault,Latitude,16-11-21,680000000,2016,Sedan,Đã qua sử dụng,Nhập khẩu,56000,Tp.HCM,Số tự động,Xăng
Renault Logan  2015,Renault,Logan,02-12-21,395000000,2015,Sedan,Đã qua sử dụng,Nhập khẩu,58000,Hà Nội,Số tự động,Xăng
Renault Sandero  2016,Renault,Sandero,01-12-21,395000000,2016,SUV,Đã qua sử dụng,Nhập khẩu,46000,Hà Nội,Số tự động,Xăng
Renault Sandero  2016,Renault,Sandero,01-12-21,460000000,2016,CUV,Đã qua sử dụng,Nhập khẩu,44000,Hà Nội,Số tự động,Xăng
Renault 19  1989,Renault,19,18-11-21,40000000,1989,Sedan,Đã qua sử dụng,Nhập khẩu,58888,Đắk Lắk,Số tay,Xăng
Rolls-Royce Ghost  2015,Rolls-Royce,Ghost,05-12-21,25500000000,2015,Sedan,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Rolls-Royce Ghost  2021,Rolls-Royce,Ghost,05-12-21,37500000000,2021,Sedan,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Rolls-Royce Ghost  2010,Rolls-Royce,Ghost,05-12-21,8500000000,2010,Sedan,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Xăng
Rolls-Royce Ghost  2021,Rolls-Royce,Ghost,05-12-21,37500000000,2021,Sedan,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Rolls-Royce Ghost  2021,Rolls-Royce,Ghost,23-11-21,37500000000,2021,Sedan,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Rolls-Royce Ghost  2021,Rolls-Royce,Ghost,23-11-21,37500000000,2021,Sedan,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Rolls-Royce Phantom  2014,Rolls-Royce,Phantom,05-12-21,28990000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,13000,Hà Nội,Số tự động,Xăng
Rolls-Royce Phantom  2014,Rolls-Royce,Phantom,10-11-21,31800000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,19000,Hà Nội,Số tự động,Xăng
Rolls-Royce Phantom  2014,Rolls-Royce,Phantom,08-11-21,28900000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,13000,Hà Nội,Số tự động,Xăng
Rolls-Royce Cullinan  2020,Rolls-Royce,Cullinan,06-12-21,18900000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,1700,Hà Nội,Số tự động,Xăng
Rolls-Royce Cullinan Rolls Royce  2020,Rolls-Royce,Cullinan,27-11-21,18900000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,1600,Hà Nội,Số tự động,Xăng
Rolls-Royce Cullinan  2020,Rolls-Royce,Cullinan,25-11-21,40500000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,8000,Hà Nội,Số tự động,Xăng
Rolls-Royce Cullinan  2020,Rolls-Royce,Cullinan,06-11-21,18800000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,9000,Tp.HCM,Số tự động,Xăng
Rolls-Royce Cullinan Rolls Royce  2020,Rolls-Royce,Cullinan,09-11-21,18799000000,2020,SUV,Đã qua sử dụng,Nhập khẩu,9999,Hà Nội,Số tự động,Xăng
Rolls-Royce Wraith  2014,Rolls-Royce,Wraith,18-11-21,15500000000,2014,Coupe,Đã qua sử dụng,Nhập khẩu,20000,Hà Nội,Số tự động,Xăng
Samsung SM3  2014,Samsung,SM3,23-11-21,315000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,90000,Hải Dương,Số tự động,Xăng
Samsung SM3   2010,Samsung,SM3,22-11-21,198000000,2010,Sedan,Đã qua sử dụng,Nhập khẩu,99000,Hà Nội,Số tay,Xăng
Samsung SM3   1.6 AT 2014,Samsung,SM3,10-11-21,335000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Xăng
Samsung SM3   2014,Samsung,SM3,12-11-21,340000000,2014,Sedan,Đã qua sử dụng,Nhập khẩu,55000,Hà Nội,Số tự động,Xăng
Ssangyong Musso  2002,Ssangyong,Musso,22-11-21,86000000,2002,SUV,Đã qua sử dụng,Trong nước,56789,Hà Nội,Số tay,Diesel
Ssangyong Musso   2002,Ssangyong,Musso,02-12-21,125000000,2002,SUV,Đã qua sử dụng,Trong nước,300000,Đắk Lắk,Số tay,Diesel
Ssangyong Musso  2004,Ssangyong,Musso,25-11-21,110000000,2004,SUV,Đã qua sử dụng,Trong nước,164310,Đồng Nai,Số tự động,Xăng
Ssangyong Musso  2002,Ssangyong,Musso,22-11-21,86000000,2002,SUV,Đã qua sử dụng,Trong nước,56789,Hà Nội,Số tay,Diesel
Ssangyong Musso  2003,Ssangyong,Musso,11-11-21,116000000,2003,SUV,Đã qua sử dụng,Nhập khẩu,10000,Hà Nội,Số tay,Diesel
Ssangyong Musso     1997,Ssangyong,Musso,27-10-21,95000000,1997,SUV,Đã qua sử dụng,Nhập khẩu,999999,Đồng Nai,Số tay,Diesel
Ssangyong Musso  1998,Ssangyong,Musso,21-10-21,120000000,1998,SUV,Đã qua sử dụng,Nhập khẩu,150000,Gia Lai,Số tay,Diesel
Ssangyong Musso    2000,Ssangyong,Musso,20-10-21,105000000,2000,SUV,Đã qua sử dụng,Nhập khẩu,150000,Gia Lai,Số tay,Diesel
Ssangyong Musso  2003,Ssangyong,Musso,14-10-21,110000000,2003,SUV,Đã qua sử dụng,Nhập khẩu,150000,Đà Nẵng,Số tay,Diesel
Ssangyong Musso  2003,Ssangyong,Musso,13-10-21,100000000,2003,SUV,Đã qua sử dụng,Nhập khẩu,111000,Đắk Lắk,Số tay,Diesel
