name,trademark,brand,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Kia Soul   1.6 AT  2010,Kia,Soul,30/11/2021,368000000,2010,Hatchback,Đã qua sử dụng,Nhập khẩu,80000,Bắc Ninh,Số tự động,Xăng
Kia Soul   2.0AT   2015,Kia,Soul,25/11/2021,595000000,2015,Hatchback,Đã qua sử dụng,Nhập khẩu,55000,Hà Nội,Số tự động,Xăng
Kia Soul     2009,Kia,Soul,30/11/2021,315000000,2009,Hatchback,Đã qua sử dụng,Nhập khẩu,120000,Hà Nội,Số tự động,Xăng
Kia Soul   2.0 AT  2014,Kia,Soul,21/10/2021,595000000,2014,Hatchback,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Xăng
Kia Ray  2004,Kia,Ray,16/11/2021,45000000,2004,Sedan,Đã qua sử dụng,Nhập khẩu,120000,Quảng Nam,Số tay,Xăng
Kia Ray  2012,Kia,Ray,13/11/2021,599000000,2012,Wagon,Đã qua sử dụng,Nhập khẩu,67000,Tp.HCM,Số tự động,Xăng
Kia Ray    2012,Kia,Ray,12/11/2021,595000000,2012,Wagon,Đã qua sử dụng,Nhập khẩu,78900,Tp.HCM,Số tự động,Xăng
Kia Ray  2012,Kia,Ray,2/11/2021,518000000,2012,Wagon,Đã qua sử dụng,Nhập khẩu,55000,Tp.HCM,Số tự động,Xăng
Kia K190    2017,Kia,K190,2/12/2021,278000000,2017,Truck,Đã qua sử dụng,Trong nước,30000,Hải Phòng,Số tay,Diesel
Kia K190  2017,Kia,K190,28/11/2021,260000000,2017,Truck,Đã qua sử dụng,Trong nước,75000,Bắc Giang,Số tay,Diesel
Kia Avella  2013,Kia,Avella,22/11/2021,152000000,2013,Hatchback,Đã qua sử dụng,Trong nước,124125,Thanh Hóa,Số tay,Xăng
Kia Avella 2.0 AT Premium  2019,Kia,Avella,18/11/2021,615000000,2019,Sedan,Đã qua sử dụng,Trong nước,40000,Hà Nội,Số tự động,Xăng
Kia Quoris  2016,Kia,Quoris,2/12/2021,1400000000,2016,Sedan,Đã qua sử dụng,Nhập khẩu,101000,Tp.HCM,Số tự động,Xăng
Kia Quoris  2016,Kia,Quoris,13/11/2021,1400000000,2016,Sedan,Đã qua sử dụng,Nhập khẩu,101000,Hà Nội,Số tự động,Xăng
Kia Sephia  1997,Kia,Sephia,5/11/2021,110000000,1997,Sedan,Đã qua sử dụng,Nhập khẩu,130000,Tp.HCM,Số tay,Xăng
Kia Concord  1989,Kia,Concord,11/11/2021,29000000,1989,Sedan,Đã qua sử dụng,Nhập khẩu,186000,Tp.HCM,Số tay,Xăng
Kia K  2005,Kia,K,8/11/2021,145000000,2005,Truck,Đã qua sử dụng,Trong nước,247816,Tp.HCM,Số tay,Diesel
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,12699000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12500000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12500000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,12680000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,12680000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover Autobiography LWB 2015,Land Rover,Range Rover,1/12/2021,4380000000,2015,SUV,Đã qua sử dụng,Nhập khẩu,30000,Hà Nội,Số tự động,Xăng
Land Rover Range Rover Autobiography 2015,Land Rover,Range Rover,3/12/2021,4590000000,2015,SUV,Đã qua sử dụng,Nhập khẩu,50000,Hà Nội,Số tự động,Xăng
Land Rover Range Rover Autobiography 2015,Land Rover,Range Rover,2/12/2021,4779000000,2015,SUV,Đã qua sử dụng,Nhập khẩu,39999,Hà Nội,Số tự động,Xăng
Land Rover Range Rover Sport HSE Dynamic 3.0P 360PS 2021,Land Rover,Range Rover,2/12/2021,7665000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover Vogue 2021,Land Rover,Range Rover,2/12/2021,9880000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover Vogue 2021,Land Rover,Range Rover,2/12/2021,9285000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2014,Land Rover,Range Rover,1/12/2021,3790000000,2014,SUV,Đã qua sử dụng,Nhập khẩu,60000,Hà Nội,Số tự động,Xăng
Land Rover Range Rover HSE 2019,Land Rover,Range Rover,1/12/2021,7200000000,2019,SUV,Đã qua sử dụng,Nhập khẩu,15000,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,1/12/2021,12650000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2020,Land Rover,Range Rover,2/12/2021,7805000000,2020,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,9750000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover Vogue LR-SDV8 3.0 AT 2014,Land Rover,Range Rover,2/12/2021,4150000000,2014,SUV,Đã qua sử dụng,Nhập khẩu,52000,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12850000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12450000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,5640000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover SV Autobiography 2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover 3.0P LWB SVAB 4 Seats 2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover 3.0P Autobiography LWB - 400PS 2021,Land Rover,Range Rover,2/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12500000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover 3.0P Autobiography LWB - 400PS 2021,Land Rover,Range Rover,2/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover Autobiography 2021,Land Rover,Range Rover,2/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2020,Land Rover,Range Rover,2/12/2021,12650000000,2020,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,9700000000,2021,SUV,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
Land Rover Range Rover  2021,Land Rover,Range Rover,2/12/2021,12600000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
